preco,area,salas,quartos,suites,banheiros,andar,garagens,iptu,condominio,portaria,espaco_social,piscina,academia
550000.0,64,2,3,1,2,2.0,2,91.67,300.0,0,0,0,0
570000.0,64,2,3,1,2,3.0,2,100.0,300.0,0,0,0,0
1400000.0,220,2,4,2,2,6.0,4,255.33,450.0,0,0,0,0
522000.0,83,2,3,1,2,1.0,2,113.33,280.0,0,0,0,0
340000.0,62,2,2,1,2,1.0,1,40.0,260.0,0,0,1,0
638800.0,195,2,4,1,2,1.0,2,100.0,400.0,0,0,0,0
380000.0,77,2,2,1,2,4.0,2,181.0,450.0,1,1,1,0
355000.0,60,1,2,0,1,8.0,2,48.33,310.0,0,0,1,0
590000.0,106,3,4,1,3,2.0,2,130.15,420.0,0,0,0,0
730000.0,150,2,3,1,2,1.0,3,150.0,200.0,0,0,0,0
980000.0,226,2,3,1,2,1.0,3,152.42,300.0,0,0,0,0
1200000.0,200,3,4,2,3,5.0,4,175.0,420.0,1,0,1,0
930000.0,160,2,3,1,2,3.0,3,300.0,300.0,0,0,0,0
740000.0,130,2,3,1,2,1.0,2,250.0,300.0,0,0,0,0
729394.3,225,4,4,2,4,2.0,1,100.0,240.0,0,0,1,0
199000.0,59,1,2,0,1,2.0,1,69.0,204.0,0,0,0,0
180000.0,43,1,2,0,1,5.0,1,75.0,190.0,0,0,0,0
232500.0,70,1,3,1,1,4.0,1,100.0,150.0,0,0,0,0
215000.0,47,2,2,1,2,3.0,1,66.67,350.0,1,0,1,0
450000.0,105,2,3,1,2,1.0,2,1500.0,250.0,0,0,0,0
322000.0,64,2,3,1,2,2.0,1,88.15,300.0,1,1,1,0
420000.0,100,2,3,1,2,2.0,1,100.0,350.0,0,0,0,0
299000.0,50,1,2,0,1,1.0,1,62.5,50.0,1,0,0,0
480000.0,124,2,3,1,2,3.0,2,103.42,280.0,1,0,0,0
280000.0,85,1,3,0,1,2.0,1,85.0,180.0,0,0,0,0
290000.0,45,1,2,0,1,2.0,1,300.0,100.0,0,0,0,0
429000.0,93,1,2,0,1,4.0,2,170.0,200.0,0,0,0,0
409000.0,104,1,2,0,1,3.0,2,120.0,153.0,0,0,0,0
278000.0,44,1,2,0,1,2.0,2,80.0,135.0,0,0,0,0
409000.0,45,1,2,0,1,1.0,2,120.0,180.0,0,0,0,0
409000.0,103,1,2,0,1,1.0,2,120.0,153.0,0,0,0,0
270000.0,45,1,2,1,1,2.0,2,120.0,153.0,0,0,0,0
273000.0,44,1,2,2,1,3.0,2,80.0,135.0,0,0,0,0
270000.0,44,1,2,0,1,3.0,2,120.0,153.0,0,0,0,0
520000.0,90,2,3,1,2,4.0,2,109.0,280.0,0,0,0,0
275000.0,60,1,2,0,1,3.0,1,45.83,290.0,0,0,1,0
342000.0,110,1,2,0,1,1.0,2,86.95,240.0,0,0,0,0
320000.0,87,1,2,0,1,1.0,1,91.58,220.0,0,0,0,0
270000.0,55,1,2,0,1,1.0,1,54.17,280.0,0,0,0,0
420000.0,127,2,3,1,2,1.0,1,88.0,469.0,0,0,0,0
399000.0,120,2,2,1,2,3.0,2,150.0,150.0,0,0,0,0
450000.0,149,3,3,2,3,2.0,3,124.33,195.0,0,0,0,0
650000.0,240,4,3,1,4,3.0,2,94.52,273.0,0,0,0,0
275000.0,54,1,2,0,1,1.0,1,48.33,275.0,0,0,0,0
280000.0,64,1,3,0,1,1.0,1,800.0,200.0,0,0,0,0
399000.0,120,2,2,1,2,1.0,2,150.0,250.0,0,0,0,0
